Folder_Name,Category,Description,Path
(car)_rushhour,Car/Talking,Two investigators talk to each other in a moving car.,./Shots/(car)_rushhour
(car)_taxi,Car,Taxi comes to a stop as it parks in front of a building,./Shots/(car)_taxi
(car)_wickdrivesoff,Car,Car takes off from a gas station.,./Shots/(car)_wickdrivesoff
(chase)_fnf,Car Chase,Big Truck chases a car on the sidewalk.,./Shots/(chase)_fnf
(chase)_ride1,Car Chase,Car speeding past other drivers while another is chasing.,./Shots/(chase)_ride1
(chase)_ride2,Car Chase,Cool drift around corner with car chasing behind.,./Shots/(chase)_ride2
(fight)_oldboy,Fight,"Man fights melee combat through hallway of thugs (amazing),",./Shots/(fight)_oldboy
(fight)_raid2,Fight,Fight breaks out in a rainy/muddy prison yard.,./Shots/(fight)_raid2
(fight)_wick,Fight,Man fights two people with melee weapons.,./Shots/(fight)_wick
(inter)_batman1,Interrogation,Police officer sitting across a dark room from a domestic terrorist.,./Shots/(inter)_batman1
(inter)_batman2,Interrogation,Super hero holds villian up by neck as he interrogates him.,./Shots/(inter)_batman2
(inter)_lawabidingcitizen,Interrogation,Detective interrogates prisoner in large interrogation room.,./Shots/(inter)_lawabidingcitizen
(inter)_matrix,Interrogation,Men in suits interrogate a normal office walker.,./Shots/(inter)_matrix
(sob)_garf,Sobbing,Spiderman cries over the death of  his girlfriend gwen,./Shots/(sob)_garf
(sob)_hugh,Sobbing,Hugh jackman is crying for some reason (didnt watch this one).,./Shots/(sob)_hugh
(sob)_interstellar,Sobbing,Man starts sobbing as he realizes he chose work over family.,./Shots/(sob)_interstellar
(sob)_toby,Sobbing,Spiderman cries over the death of his uncle ben.,./Shots/(sob)_toby
(talk)_diary,Talking,Son talking to mother at dinner table,./Shots/(talk)_diary
(talk)_gwh,Talking,"Therapist talking to troubled, talented young man on a bench.",./Shots/(talk)_gwh
(talk)_ted,Talking,Man and talking bear sing song to ward off thunder.,./Shots/(talk)_ted
(talk)_wolf,Talking,"Two psychotic, money-hungry stockbrokers talk during lunch",./Shots/(talk)_wolf
(climb)_missimp2,Climbing,Man climbing up a desert-like mountain.,./Shots/(climb)_missimp2
(climb)_missimp4,Climbing,Man climbing up a skyscraper,./Shots/(climb)_missimp4
(climb)_pointbreak,Climbing,People climbing up a mountain next to a waterfall,./Shots/(climb)_pointbreak
(climb)_vertlimit,Climbing,People climbin up a desert-like mountain,./Shots/(climb)_vertlimit
